,Cities,Countries,Latitude,Longitude,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (km/h)
0,puerto ayora,ec,-0.74,-90.35,18.89,95,13,2.68
1,saint-francois,gp,16.25,-61.27,27,83,34,2.1
3,atuona,pf,-9.8,-139.03,26.68,74,1,7.211
4,thompson,ca,55.74,-97.86,7,75,90,5.1
5,manavalakurichi,in,8.13,77.3,28,83,40,2.1
6,albany,au,-35.02,117.88,13,87,75,7.2
7,bluff,nz,-46.6,168.33,8.89,67,0,8.05
8,hilo,us,19.71,-155.08,29,62,20,3.6
9,bambous virieux,mu,-20.34,57.76,23.33,94,40,3.1
10,rikitea,pf,-23.12,-134.97,21.17,80,100,10.6
12,poum,nc,-20.23,164.02,22.13,70,10,4.93
13,taltal,cl,-25.41,-70.49,9.63,86,0,0.28
14,berlevag,no,70.86,29.09,5.68,69,100,3.531
15,port lincoln,au,-34.72,135.86,19.28,56,90,9.89
16,pevek,ru,69.7,170.27,-1.57,87,100,13.04
17,tasiilaq,gl,65.61,-37.64,5,80,100,17.5
18,lubliniec,pl,50.67,18.68,8.33,87,75,1.5
19,ushuaia,ar,-54.81,-68.31,1,94,75,14.9
20,hithadhoo,mv,-0.6,73.08,27.87,67,100,3.77
21,punta arenas,cl,-53.16,-70.91,3,55,40,6.2
23,alice springs,au,-23.7,133.88,32,11,0,6.7
24,waipawa,nz,-39.94,176.59,14.44,72,100,4.02
25,vestmannaeyjar,is,63.44,-20.27,9.05,87,100,25.6
26,eshowe,za,-28.89,31.46,15.44,93,54,0.79
27,jamestown,sh,-15.94,-5.72,18.36,78,100,7.43
28,new norfolk,au,-42.78,147.06,17.22,30,20,5.7
29,otacilio costa,br,-27.48,-50.12,16.67,99,100,1.34
31,cape town,za,-33.93,18.42,13.33,93,0,2.1
32,qaanaaq,gl,77.48,-69.36,-6.01,98,87,0.71
34,andilamena,mg,-17.01,48.57,16.31,88,69,2.98
35,ribeira grande,pt,38.52,-28.7,20.36,76,98,3.61
36,shahrud,ir,36.42,54.97,4.03,30,0,2.77
37,paamiut,gl,61.99,-49.67,6.44,64,68,2.93
39,eyl,so,7.98,49.82,22.99,90,0,2.35
40,dakar,sn,14.69,-17.45,26,94,100,2.6
41,hasaki,jp,35.73,140.83,31.11,48,40,2.1
42,coihaique,cl,-45.58,-72.07,8,100,0,3.1
43,komsomolskiy,ru,67.55,63.78,0.01,95,100,2
44,tecoanapa,mx,16.99,-99.26,27,83,40,0.68
45,marfino,ru,56.07,37.56,7.22,86,75,2
46,avarua,ck,-21.21,-159.78,21,83,100,4.1
48,barrow,us,39.51,-90.4,15,81,1,3.6
49,east london,za,-33.02,27.91,18.04,76,94,1.096
50,arraial do cabo,br,-22.97,-42.02,22.33,79,0,10.38
51,touros,br,-5.2,-35.46,22,88,20,2.1
52,dikson,ru,73.51,80.55,-3.57,86,100,10.23
53,nanortalik,gl,60.14,-45.24,7.72,52,100,3.48
54,zhigansk,ru,66.77,123.37,-2.4,60,0,4.2
55,faanui,pf,-16.48,-151.75,26.26,81,73,3.62
56,bugiri,ug,0.57,33.75,19.63,78,100,1.89
57,bethel,us,60.79,-161.76,7,56,75,5.7
58,port elizabeth,za,-33.92,25.57,11,93,0,1.5
59,nikolskoye,ru,59.7,30.79,2,80,90,4
60,saint-philippe,re,-21.36,55.77,23,73,0,2.6
61,lara,au,-38.02,144.41,20.56,76,100,3.6
62,yingcheng,cn,30.93,113.57,22,68,100,5
63,port alfred,za,-33.59,26.89,14.44,87,25,0.45
64,kapaa,us,22.08,-159.32,30,66,20,6.2
65,tuensang,in,26.24,94.81,19.77,85,87,0.296
66,hermanus,za,-34.42,19.24,12.22,95,0,0.89
67,busselton,au,-33.64,115.35,19.44,46,83,7.65
68,alzano lombardo,it,45.73,9.73,13,87,0,2.1
69,rognan,no,67.1,15.4,-2,79,40,3.6
70,vaini,to,-21.2,-175.2,24,69,75,4.1
71,cabo san lucas,mx,22.89,-109.91,28.33,69,20,3.1
72,provideniya,ru,64.42,-173.23,-2.68,94,100,15.5
73,salalah,om,17.01,54.1,26,78,40,1
74,korla,cn,41.76,86.15,10.38,33,100,2.06
76,aswan,eg,24.09,32.9,29,28,0,2.6
77,mar del plata,ar,-46.43,-67.52,9.53,44,21,3.23
78,beisfjord,no,68.38,17.6,3.33,90,81,4.6
79,tiptur,in,13.26,76.47,23.25,76,13,0.77
81,castro,cl,-42.48,-73.76,5,93,75,1.5
82,lorengau,pg,-2.02,147.27,28.15,75,99,5.609
83,cockburn town,tc,21.46,-71.14,27.77,77,100,5.79
84,luderitz,na,-26.65,15.16,11,93,0,1
85,orai,in,25.99,79.45,27.67,64,93,1.41
86,amahai,id,-3.31,129,26.1,84,38,4.64
87,yarada,in,17.65,83.27,28,78,40,1
88,tocache,pe,-8.19,-76.51,18.68,84,4,0.791
90,bredasdorp,za,-34.53,20.04,8,87,19,0.98
92,liverpool,ca,44.04,-64.71,5,86,30,1.79
93,necochea,ar,-38.55,-58.74,9.44,96,67,0.89
94,hobart,au,-42.88,147.33,17.22,30,20,5.7
95,zarichne,ua,51.81,26.13,5.11,83,100,0.99
96,longyearbyen,sj,78.22,15.64,0,88,75,3.6
97,sola,vu,-13.88,167.55,26.06,84,100,11.43
98,esperance,au,-33.86,121.89,17,82,90,11.3
99,chenghai,cn,23.46,116.77,31,58,0,2
100,ostrovnoy,ru,68.05,39.51,1.13,81,100,9.88
101,olga,ru,43.74,135.29,8.9,56,97,4.07
102,chokurdakh,ru,70.62,147.9,-1.21,96,100,7.92
104,acari,pe,-15.44,-74.62,14.64,90,100,11.34
105,ouegoa,nc,-20.34,164.44,22.13,70,10,4.93
106,georgetown,sh,-7.93,-14.42,23,78,75,7.2
107,malanje,ao,-9.54,16.35,17.35,96,91,0.77
108,qaqortoq,gl,60.72,-46.03,12,23,100,12.9
109,ghotki,pk,28.01,69.32,24,83,40,3.1
110,matamoros,mx,25.53,-103.23,29,30,5,1.5
111,cherskiy,ru,68.75,161.3,-3.37,91,100,6.1
112,belmonte,br,-26.84,-53.58,19.42,98,3,0.68
113,stuttgart,us,34.5,-91.55,22.22,60,1,4.1
115,olden,no,61.84,6.81,0,93,0,0.45
116,saldanha,za,-33.01,17.94,10,81,0,1
117,mosquera,co,4.71,-74.23,12,87,40,2.1
118,hobyo,so,5.35,48.53,25.21,90,2,2.96
119,pringsewu,id,-5.36,104.98,28.4,60,20,2.93
120,tuktoyaktuk,ca,69.44,-133.03,2,93,75,6.2
